seq,year,month,ym,origin_ym,q,q_prev,q_prev2,calendar_p,global_p,component_crossed,bic_advantage_2,log_rv_1,log_rv_3,log_rv_12,log_range_var_1,jump_share_1,semivar_imbalance_1,p_global,p_calendar,p_calendar_calibrated,p_persistence,p_markov,p_seasonal_markov,p_logistic,p_cyclic,p_month_pool,p_multiscale,p_cyclic_multiscale,p_month_pool_multiscale,seasonal_strength,logistic_penalty,cyclic_penalty,month_pool_penalty,multiscale_penalty,cyclic_multiscale_penalty,month_pool_multiscale_penalty
139,2019,2,2019-02,2019-01,0.003608742193014112,0.0010584633406881291,0.9999986023107972,0.6859691368137751,0.502546723878992,false,36.737769285578,-7.290108728147502,-7.330140183073795,-7.137129727355707,-7.350489230948081,0.42575960258895357,0.5110890523391342,0.502546723878992,0.6859691368137751,0.5613632820996495,0.0010584633406881291,0.5056882773739182,0.5312867519269379,0.499924848261007,0.5050973417993905,0.5391090264776133,0.45627389972755045,0.4676306388374738,0.5027922992155833,24.0,100.0,100.0,100.0,100.0,100.0,100.0
140,2019,3,2019-03,2019-02,0.1414111772468005,0.003608742193014112,0.0010584633406881291,0.1808685433417062,0.49718179934473417,false,37.080637062086566,-7.4955701380206525,-7.377599373632753,-7.1854340901779,-7.519714774394604,0.2351349887711469,0.11940721622927618,0.49718179934473417,0.1808685433417062,0.34805637742292717,0.003608742193014112,0.4948432229696491,0.4597724271337359,0.4684595172866972,0.446112579923895,0.4214947435031996,0.4161859350339548,0.2559996233420384,0.3792036079050189,24.0,100.0,100.0,100.0,10.0,10.0,100.0
141,2019,4,2019-04,2019-03,0.04972949201689335,0.1414111772468005,0.003608742193014112,0.08339049939114204,0.4933970054926285,false,36.76232408363194,-7.000070101671949,-7.241080297982132,-7.195193940642091,-7.06855316635429,0.25292278430619985,0.4003434098956726,0.4933970054926285,0.08339049939114204,0.2674476662785201,0.1414111772468005,0.48760252663830156,0.4051827774534795,0.4478451761783939,0.24583716071455475,0.3963939400015467,0.4103925681614372,0.18119214851477766,0.363842953175791,24.0,100.0,10.0,100.0,10.0,10.0,100.0
142,2019,5,2019-05,2019-04,3.4955305795524653e-6,0.04972949201689335,0.1414111772468005,0.42154973799377765,0.48872682114025234,false,36.59093681566503,-7.803377372986175,-7.377379555623162,-7.246350851492992,-7.590685774478838,0.34577524420217964,0.32632889592477093,0.48872682114025234,0.42154973799377765,0.44238069381364487,0.04972949201689335,0.4799931916737618,0.46258874143223655,0.4757562805225071,0.34969458635187994,0.46837896647059063,0.3688834064298928,0.22788671110901818,0.412769128031034,24.0,100.0,10.0,100.0,10.0,10.0,100.0
143,2019,6,2019-06,2019-05,0.9999997967420657,3.4955305795524653e-6,0.04972949201689335,0.6801394833426033,0.48363595316515157,false,37.63923374414799,-7.324490547925034,-7.323590503845215,-7.238150870228591,-7.328101825945639,0.26160423129440263,0.39847021496996315,0.48363595316515157,0.6801394833426033,0.5491000773904219,3.4955305795524653e-6,0.47031672809949776,0.5061667044299891,0.4971690155658616,0.5724619125542078,0.5239320859348671,0.4097601468996327,0.521423731326488,0.47815573021560964,24.0,100.0,10.0,100.0,10.0,10.0,100.0
144,2019,7,2019-07,2019-06,0.1090381466999658,0.9999997967420657,3.4955305795524653e-6,0.6999277463409077,0.48895929175872804,false,39.887431705875656,-6.618330802531754,-7.12956328273759,-7.1445603669329625,-6.529635984448701,0.3112715369023197,0.7113660901845358,0.48895929175872804,0.6999277463409077,0.5664870088779189,0.999999,0.4869088999318057,0.5333171292800706,0.501889646934887,0.7215149081800185,0.524534793448958,0.41311664689004785,0.603081412515231,0.4966929975832233,24.0,100.0,10.0,100.0,10.0,10.0,100.0
145,2019,8,2019-08,2019-07,0.9993013052432469,0.1090381466999658,0.9999997967420657,0.7046226320826192,0.4850825453805774,false,40.568825811419174,-6.0143377119498265,-6.5160916237585775,-6.9694482908811946,-6.186318317408599,0.23957836068445232,0.11833784439736285,0.4850825453805774,0.7046226320826192,0.5606996062963412,0.1090381466999658,0.48069134481390646,0.5144364288260929,0.48371708198394264,0.5248701831508389,0.5313139934803434,0.3967473548260225,0.5126018986333407,0.5196995634083005,24.0,100.0,100.0,100.0,10.0,100.0,100.0
146,2019,9,2019-09,2019-08,0.000021677846669117292,0.9993013052432469,0.1090381466999658,0.5598252556912718,0.49027667426807914,false,41.111759123357274,-6.12633850471649,-6.220678187410658,-6.892095162910472,-5.909684919867483,0.229004139018266,0.6929242455214544,0.49027667426807914,0.5598252556912718,0.5001620625629791,0.9993013052432469,0.48021269350130846,0.5031465253907845,0.4896745660688526,0.4865198099760287,0.5019091773586957,0.49252346485318443,0.48894776267554496,0.50524887369687,24.0,100.0,10.0,100.0,100.0,10.0,100.0
147,2019,10,2019-10,2019-09,2.1316726429349446e-10,0.000021677846669117292,0.9993013052432469,0.3019549582561091,0.485374124303865,false,41.49444980600572,-6.278011310751595,-6.133771685860382,-6.786630245951086,-6.231936955874799,0.25354257680787157,0.46411942611411294,0.485374124303865,0.3019549582561091,0.38002552534592393,0.000021677846669117292,0.48995138224246054,0.46073244808545566,0.4619750029519303,0.36337860610203687,0.43726100652643074,0.48079384341640635,0.40550869043642157,0.4418960294383655,24.0,100.0,10.0,100.0,100.0,10.0,100.0
148,2019,11,2019-11,2019-10,0.42222424591830404,2.1316726429349446e-10,0.000021677846669117292,0.48271525240713803,0.4805684399069274,false,43.44122491329381,-7.057292801628342,-6.412489859940069,-6.8121968173422625,-6.572887125287359,0.22607322340487634,0.32378486709353965,0.4805684399069274,0.48271525240713803,0.4563360532521309,1e-6,0.4805230760979028,0.5117480178509586,0.48349837333642776,0.41585816397493597,0.4760106762152829,0.4709722212960888,0.4764686104032027,0.5146515307952748,24.0,100.0,10.0,100.0,100.0,10.0,10.0
149,2019,12,2019-12,2019-11,0.9998719558866864,0.42222424591830404,2.1316726429349446e-10,0.49096343709245627,0.4799964380050782,false,38.3091460607784,-7.144592337930321,-6.745819015097413,-6.801466811719881,-7.100254797878195,0.3840625162532348,0.6643520344104161,0.4799964380050782,0.49096343709245627,0.45968770753530147,0.42222424591830404,0.4756214528568128,0.48199588467588345,0.47560545871311016,0.5702685993453004,0.477577884963508,0.45169324411467127,0.5012316967506708,0.45249007213063047,24.0,100.0,10.0,100.0,100.0,10.0,100.0
150,2020,1,2020-01,2019-12,0.9939849032019535,0.9998719558866864,0.42222424591830404,0.684319539218746,0.48504377313014235,false,39.839752678503146,-7.610086831956997,-7.242922783746544,-6.812169742318184,-7.46590724765389,0.23505431587077363,0.4598097233466887,0.48504377313014235,0.684319539218746,0.556150423820917,0.9998719558866864,0.4749413939375628,0.47880905040514704,0.4922260771223806,0.6346213911783276,0.5284893711197135,0.433800875691025,0.48210189287379135,0.4785890512418735,24.0,100.0,10.0,100.0,100.0,10.0,100.0
151,2020,2,2020-02,2020-01,0.6524673929318404,0.9939849032019535,0.9998719558866864,0.6101513151892461,0.48993743784237126,false,39.518722850447716,-6.915766669028317,-7.183697946141137,-6.788979998126687,-6.552953353269949,0.22066082389071864,0.37185358601152796,0.48993743784237126,0.6101513151892461,0.525467072089678,0.9939849032019535,0.48522403221386223,0.5159197973441234,0.4879776819671946,0.5066410518050933,0.5147212339276286,0.4559414631799983,0.40651023687914856,0.4853438519406337,24.0,100.0,10.0,100.0,100.0,10.0,100.0
152,2020,3,2020-03,2020-02,0.00042953070633672193,0.6524673929318404,0.9939849032019535,0.17648439155338333,0.49148534217655665,false,40.78342592977015,-5.996199935430893,-6.6261820857842375,-6.6553085192129995,-6.060237783582628,0.5265880615079038,0.46359394564813483,0.49148534217655665,0.17648439155338333,0.3056087984281308,0.6524673929318404,0.48727530663390656,0.43594063519672566,0.44406615117862785,0.2997435773094773,0.4104810094066428,0.4896862825351423,0.28443542968684526,0.41495836854405527,24.0,100.0,10.0,100.0,100.0,10.0,100.0
